Date,Close_TATACHEM,Close_TATASTEEL,Close_TATACOMM,Close_TCS,Close_TATAMOTORS
2011-02-09,313.65,599.15,216.55,1098.3,1073.6
2011-02-10,304.15,600.55,195.65,1090.75,1102.5
2011-02-11,310.65,595.3,210.1,1089.6,1142.7
2011-02-14,317.55,620.25,210.95,1112.3,1209.25
2011-02-15,320.45,616.6,210.6,1097.7,1237.35
2011-02-16,317.3,641.4,212.15,1096.5,1238.45
2011-02-17,321.85,655.1,215.4,1109.2,1248.6
2011-02-18,327.0,638.35,210.35,1089.7,1205.55
2011-02-21,337.85,637.45,210.95,1138.6,1161.75
2011-02-22,336.0,624.35,207.9,1138.75,1136.85
2011-02-23,335.6,627.0,219.35,1125.55,1143.9
2011-02-24,322.3,602.65,224.45,1111.8,1054.4
2011-02-25,322.05,606.85,211.75,1110.05,1110.7
2011-02-28,321.5,607.15,211.45,1110.25,1082.75
2011-03-01,333.9,634.45,218.25,1124.5,1141.85
2011-03-03,330.2,624.4,211.35,1150.2,1176.5
2011-03-04,331.25,618.2,212.0,1135.55,1175.75
2011-03-07,325.85,602.75,207.1,1108.25,1127.95
2011-03-08,326.15,616.0,209.9,1117.7,1162.15
2011-03-09,328.4,612.95,214.6,1126.7,1163.3
2011-03-10,325.85,596.55,213.9,1108.55,1165.0
2011-03-11,328.65,581.3,211.3,1077.05,1162.6
2011-03-14,324.85,601.1,212.5,1097.55,1175.8
2011-03-15,319.45,593.3,207.75,1089.8,1142.1
2011-03-16,320.5,599.55,210.75,1114.85,1166.5
2011-03-17,326.6,592.7,209.1,1098.0,1139.95
2011-03-18,321.95,597.15,217.05,1082.75,1117.45
2011-03-21,315.9,601.45,210.15,1070.8,1121.2
2011-03-22,318.85,604.8,220.45,1069.5,1136.1
2011-03-23,319.7,610.4,245.8,1064.35,1136.9
2011-03-24,327.05,609.75,239.55,1093.4,1157.3
2011-03-25,333.65,615.45,236.8,1119.65,1183.85
2011-03-28,331.6,613.4,246.95,1119.9,1224.0
2011-03-29,329.0,612.9,244.75,1138.7,1239.45
2011-03-30,335.25,615.8,244.7,1151.95,1249.0
2011-03-31,342.0,622.25,239.0,1183.9,1248.35
2011-04-01,345.6,626.6,246.75,1180.15,1241.8
2011-04-04,348.95,631.15,248.15,1213.2,1254.2
2011-04-05,353.95,635.2,256.35,1239.85,1280.35
2011-04-06,351.05,634.4,256.25,1221.85,1298.7
2011-04-07,360.25,638.35,255.2,1199.2,1290.9
2011-04-08,355.65,629.85,249.6,1196.0,1253.3
2011-04-11,355.35,624.95,250.35,1178.4,1219.55
2011-04-13,362.55,636.4,254.85,1210.1,1248.85
2011-04-15,368.1,630.6,261.2,1191.4,1235.85
2011-04-18,364.65,612.1,255.4,1144.6,1205.85
2011-04-19,366.4,609.4,257.6,1164.7,1201.3
2011-04-20,379.25,624.5,258.75,1218.7,1251.75
2011-04-21,382.4,630.05,257.15,1192.1,1243.75
2011-04-25,378.3,626.7,254.45,1197.85,1242.55
2011-04-26,381.75,627.4,253.45,1189.0,1261.3
2011-04-27,389.4,620.05,252.65,1180.6,1249.5
2011-04-28,380.35,613.45,241.85,1158.65,1232.3
2011-04-29,376.45,616.5,237.25,1165.65,1236.85
2011-05-02,372.15,614.65,236.65,1158.45,1225.35
